iter	MAPE	RMSE	R2	MAE
0	0.9218652811	2.940614828	0.02955290501	1.715141038
1	0.907225735	2.897897613	0.05754276436	1.687354885
2	0.8920592096	2.855909726	0.08465559851	1.659044536
3	0.8787703936	2.815921796	0.110109117	1.633918882
4	0.8655685902	2.775112964	0.1357151282	1.608785177
5	0.8521070498	2.736824996	0.1593995193	1.584047523
6	0.838695218	2.699481359	0.182182792	1.558602255
7	0.8268319366	2.661341399	0.2051288067	1.535989722
8	0.8143866939	2.624170678	0.227177539	1.512347422
9	0.8025486038	2.587594212	0.2485710534	1.489817219
10	0.7903771363	2.552745509	0.2686746623	1.466737311
11	0.778402816	2.518676195	0.2880651481	1.444421426
12	0.7675912918	2.483946995	0.307563062	1.423839516
13	0.75583851	2.451708944	0.3254200923	1.401720385
14	0.7451949831	2.419098708	0.3432459529	1.381456336
15	0.733507106	2.388493219	0.3597588205	1.359533992
16	0.7230010112	2.357290968	0.3763772309	1.339612103
17	0.711943848	2.327589849	0.3919931284	1.318813578
18	0.700521274	2.298056084	0.4073247037	1.297786389
19	0.6900837285	2.269331435	0.4220484446	1.278086573
20	0.6792831386	2.241686548	0.4360438331	1.258010983
21	0.6697147492	2.214200246	0.4497888741	1.239842246
22	0.659151012	2.18792577	0.4627693947	1.220758514
23	0.6485752496	2.161316513	0.4757573844	1.201485752
24	0.6393590237	2.134749494	0.4885662108	1.184038834
25	0.6298118737	2.10979894	0.5004514322	1.166456032
26	0.6210552564	2.085576467	0.5118561589	1.150020022
27	0.6120699442	2.061598107	0.5230162403	1.133494328
28	0.6032244122	2.038156405	0.5338017974	1.117033833
29	0.5960835358	2.015250058	0.5442218899	1.103654799
30	0.5863380507	1.992232043	0.5545741467	1.086565288
31	0.5783949261	1.971154399	0.5639494224	1.071780493
32	0.5708647381	1.950566843	0.5730104429	1.057754116
33	0.5633957039	1.929018963	0.5823922281	1.043648487
34	0.5551112468	1.908122347	0.591390919	1.028322337
35	0.5488627262	1.888087761	0.5999263643	1.01650676
36	0.5418071815	1.868450135	0.6082052585	1.003563586
37	0.5342061929	1.84955923	0.6160876651	0.9901486768
38	0.5266278934	1.831419071	0.6235814277	0.9768768661
39	0.5208331393	1.812427408	0.6313478077	0.965970148
40	0.5141857479	1.794714758	0.6385181909	0.9540159794
41	0.5067148778	1.778036336	0.6452055297	0.9409083686
42	0.4994956872	1.760841477	0.6520345712	0.9282586878
43	0.4932235581	1.743445965	0.6588757748	0.9163969981
44	0.4857878203	1.726991724	0.665284294	0.9035419759
45	0.4785981376	1.711233472	0.6713647749	0.8910970919
46	0.4724647444	1.695509633	0.6773764232	0.8801114608
47	0.4663474553	1.678931102	0.683654743	0.8690299447
48	0.4606186952	1.664181214	0.6891886934	0.858851878
49	0.4546568841	1.649761594	0.6945515281	0.8483669972
50	0.4492083456	1.634834488	0.7000539407	0.8383932663
51	0.4434890337	1.621566688	0.7049027199	0.8281646571
52	0.4387676797	1.608603928	0.7096018612	0.819318257
53	0.4329513815	1.594303746	0.7147420796	0.8087458755
54	0.4276703611	1.582020744	0.7191205755	0.7995304775
55	0.4231463488	1.56907588	0.7236983543	0.7916606917
56	0.4182101337	1.556861019	0.7279834872	0.7829938973
57	0.4130818501	1.545403148	0.7319726181	0.7744290955
58	0.4074852168	1.533362936	0.7361327436	0.7652418111
59	0.4024954009	1.521769808	0.7401076444	0.7567214216
60	0.3985023387	1.509747059	0.7441979836	0.7496859105
61	0.3931172271	1.498986011	0.7478315559	0.7409673778
62	0.3885099502	1.488309101	0.7514110308	0.733132145
63	0.3837758346	1.47832824	0.7547340131	0.7256074864
64	0.3800341619	1.467687309	0.7582521298	0.7189327591
65	0.3762874472	1.457073625	0.7617359209	0.712399605
66	0.372222732	1.447460283	0.7648695416	0.7056605304
67	0.3678003864	1.438454722	0.767786229	0.6982313924
68	0.3644309117	1.428364705	0.7710325227	0.6919336016
69	0.3610780701	1.418762271	0.7741007234	0.6860659742
70	0.3565814233	1.409971789	0.7768913412	0.6792455815
71	0.3530330595	1.401901024	0.7794382066	0.6735750017
72	0.3496493493	1.393856361	0.7819622853	0.6681416915
73	0.345952963	1.385431998	0.7845899276	0.6621781989
74	0.3424838665	1.377512693	0.787045512	0.6565180507
75	0.3389185661	1.369995771	0.789363305	0.6509131021
76	0.335495502	1.361961354	0.7918266418	0.6453942712
77	0.3323011484	1.354234907	0.7941818895	0.6400347336
78	0.3287451368	1.347118629	0.7963392858	0.6345978637
79	0.3263203246	1.339912998	0.7985121889	0.6302553356
80	0.3231167685	1.332888885	0.800619137	0.6253111329
81	0.3194331056	1.325358884	0.8028655317	0.6197730136
82	0.3161645906	1.318682755	0.8048465504	0.6149017955
83	0.3138251269	1.311769579	0.8068873655	0.6112271857
84	0.3111579925	1.304656414	0.8089760213	0.6071120591
85	0.3077453882	1.298844152	0.8106742589	0.6023366548
86	0.3050602472	1.292288382	0.8125806364	0.597761606
87	0.302790564	1.285691906	0.8144891144	0.5938446012
88	0.3007688904	1.278994996	0.8164166588	0.5903525383
89	0.2977912777	1.273174731	0.8180837061	0.5859552107
90	0.2952016259	1.266172932	0.8200790941	0.5816959914
91	0.2927508943	1.259823353	0.8218790972	0.5779019862
92	0.2905852575	1.253443428	0.8236785885	0.5741535615
93	0.28806045	1.247962576	0.825217196	0.570253708
94	0.2863658936	1.240814394	0.8272137319	0.5670677449
95	0.2836216499	1.235210732	0.8287708537	0.5630102948
96	0.2809639442	1.229834721	0.8302580924	0.5591714568
97	0.2783862216	1.224921294	0.8316116862	0.55567564
98	0.275846898	1.220066962	0.8329436789	0.5522235846
99	0.2737246674	1.214698341	0.8344106295	0.5491967004
100	0.2712050924	1.209432604	0.8358431828	0.5455216121
101	0.2687768271	1.204911466	0.8370682008	0.5422116162
102	0.2675528252	1.200348902	0.8382997922	0.5401053703
103	0.2657181856	1.196167275	0.8394244523	0.5373700272
104	0.2644181489	1.190680038	0.8408943054	0.5349671463
105	0.2629629405	1.185879116	0.8421747737	0.532616281
