iter	Passed	Remaining
0	49	497017
1	51	259885
2	53	179898
3	56	140331
4	59	119632
5	61	102900
6	64	91784
7	66	82918
8	68	75908
9	70	70094
10	71	65259
11	73	61576
12	75	58022
13	77	54991
14	78	52509
15	80	50316
16	82	48298
17	83	46558
18	85	44914
19	87	43425
20	88	42088
21	90	40881
22	91	39811
23	93	38769
24	94	37841
25	96	37053
26	98	36225
27	99	35594
28	101	34890
29	102	34225
30	104	33740
31	106	33175
32	108	32627
33	109	32108
34	111	31621
35	112	31177
36	114	30755
37	115	30398
38	117	30016
39	119	29647
40	120	29292
41	122	28967
42	123	28650
43	125	28338
44	126	28040
45	128	27781
46	129	27511
47	132	27536
48	135	27496
49	137	27293
50	138	27068
51	140	26839
52	141	26621
53	143	26479
54	145	26331
55	148	26410
56	151	26399
57	153	26252
58	154	26082
59	156	25942
60	158	25810
61	159	25633
62	161	25485
63	163	25328
64	165	25260
65	167	25190
66	170	25205
67	171	25058
68	173	24939
69	174	24803
70	176	24715
71	178	24574
72	179	24431
73	181	24301
74	182	24179
75	184	24053
76	188	24240
77	191	24325
78	193	24247
79	194	24130
80	196	24022
81	197	23917
82	199	23808
83	200	23703
84	202	23630
85	205	23692
86	208	23757
87	210	23660
88	211	23565
89	213	23462
90	214	23378
91	216	23298
92	217	23211
93	219	23134
94	221	23130
95	224	23175
96	227	23209
97	229	23162
98	230	23096
99	232	23029
100	234	22958
101	235	22894
102	238	22938
103	241	22981
104	243	22948
105	245	22903
106	246	22833
107	248	22762
108	250	22690
109	251	22621
110	254	22711
111	257	22732
112	259	22729
113	261	22666
114	262	22599
115	264	22530
116	265	22466
117	268	22463
118	271	22509
119	273	22535
120	275	22479
121	276	22421
122	278	22360
123	279	22297
124	281	22229
125	282	22169
126	284	22114
127	286	22112
128	289	22120
129	290	22091
130	292	22037
131	294	21979
132	295	21923
133	297	21868
134	298	21809
135	300	21818
136	304	21906
137	306	21874
138	307	21831
139	309	21795
140	310	21744
141	312	21688
142	313	21637
143	316	21667
144	318	21635
